timestamp,file,scenario_name,model,style,answer,correct_choice,is_correct,question,choice_A,choice_B,choice_C,choice_D
2025-10-09T21:41:04Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveCarHairpinConstruction_v1_MCQ_hybrid_checked.json,AggressiveCarHairpinConstruction_v1,deepseek/deepseek-r1,hybrid,?,D,False,"In a construction zone on a gravel road, the ego vehicle travels at 80 kph (22.22 m/s) with a deceleration rate of 3 m/s² due to surface conditions. Assume the lead vehicle becomes a stationary obstacle after the driver's reaction. What is the minimum safe headway, including a 1.5-second reaction time and a 20% safety margin?",24.7 m,41.2 m,49.4 m,82.4 m
2025-10-09T21:41:04Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveRainyServiceRoadEntryExit_v1_MCQ_physics_checked.json,AggressiveRainyServiceRoadEntryExit_v1,deepseek/deepseek-r1,physics,?,B,False,"During heavy rain, the ego vehicle travels at 15 m/s and must respond to a sudden cut-in at 300 seconds, where the aggressive car decelerates at 4.0 m/s² for 2.5 seconds. Assume the lead vehicle becomes a stationary obstacle after the driver's reaction. What is the minimum safe headway distance required to avoid collision, assuming a 1.5-second reaction time?",37.50 m,52.50 m,48.75 m,60.00 m
2025-10-09T21:41:04Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveCutIn_Dawn_v1_MCQ_hybrid_checked.json,AggressiveCutIn_Dawn_v1,deepseek/deepseek-r1,hybrid,?,C,False,"The ego vehicle travels at 18 m/s. An aggressive car cuts in and decelerates sharply. Assume the lead vehicle becomes a stationary obstacle after the driver's reaction. What is the minimum safe headway to avoid collision, including a 1.5 s reaction and 4 m/s² deceleration?",40.5 m,20.25 m,60.75 m,27.0 m
2025-10-09T21:41:04Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIcy_v1_MCQ_physics_checked.json,AggressiveWeaveBridgeIcy_v1,deepseek/deepseek-r1,physics,?,B,False,"On an icy bridge with a speed limit of 100 km/h (27.78 m/s), the ego vehicle starts at rest at x = -350.0 and must stop before x = -200.0. Assume a driver reaction time of 1.5 seconds and maximum deceleration of 3 m/s² on ice. What is the minimum safe braking distance needed to avoid a red light violation, assuming the lead vehicle becomes a stationary obstacle after the driver's reaction?",129.63 m,172.25 m,144.44 m,96.45 m
2025-10-09T21:41:05Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIcyStopSign_v1_MCQ_comparative_checked.json,AggressiveWeaveBridgeIcyStopSign_v1,deepseek/deepseek-r1,comparative,?,A,False,You are stationary at -300 m on an icy bridge with a stop line at -150 m and a traffic light cycling red/green. Traffic is aggressive and weaving. Which maneuver minimizes collision risk while ensuring a full stop?,Brake gently and early,Accelerate to pass before red,Change lanes to avoid traffic,Maintain speed until stop line
2025-10-09T21:41:05Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIcyEasy_MCQ_scenarioChecked.json,AggressiveWeaveBridgeIcyEasy,deepseek/deepseek-r1,scenario,?,C,False,"The ego vehicle approaches a three-lane icy bridge at dawn with good visibility, traveling at 25 m/s (90 km/h) and aiming to park safely. The road has no active signals or obstacles, but the surface is slippery, and the speed limit is 90 kph. Given the high initial speed and low-traction conditions, what should be the primary priority for safe operation?",Maintain current speed to ensure visibility and control in low-light conditions,Begin immediate and aggressive braking to minimize collision risk,"Initiate smooth, early deceleration to adapt speed to traction limits before parking",Switch lanes repeatedly to find less icy surface while approaching the bridge
2025-10-09T21:41:05Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveCarHairpinConstruction_v1_MCQ_comparative_checked.json,AggressiveCarHairpinConstruction_v1,deepseek/deepseek-r1,comparative,?,A,False,"In a construction zone on a gravel road with an 80 kph limit and a hairpin turn, an aggressive car merges into your lane in 50 seconds. You must navigate the turn while avoiding sudden maneuvers. Which maneuver minimizes collision risk given the gravel surface and merging threat?",Brake moderately to increase headway,Accelerate slightly to create space ahead,Change lanes away from the merging car,Maintain current speed and position
2025-10-09T21:41:05Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIce_v1_MCQ_policy_checked.json,AggressiveWeaveBridgeIce_v1,deepseek/deepseek-r1,policy,?,D,False,"The ego vehicle approaches a narrow, icy mountain switchback at night with poor visibility, planning a right lane change. A lead car suddenly brakes hard at 30 seconds, reducing traction and visibility further. Given the high risk of skidding and limited escape options, what minimum time gap should the ego vehicle maintain to the lead vehicle during the lane change, based on conservative safety policy for adverse conditions?",1.0 second,1.5 seconds,2.0 seconds,3.0 seconds
2025-10-09T21:41:05Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIcyStopSign_v1_MCQ_hybrid.json,AggressiveWeaveBridgeIcyStopSign_v1,deepseek/deepseek-r1,hybrid,?,C,False,"The ego vehicle travels at 100 km/h (27.78 m/s) on an icy bridge where deceleration is limited to 3 m/s² and the driver's perception–reaction time is 1.5 seconds. Considering additional uncertainty from aggressive vehicles and friction variability (±10%), what is the minimum safe headway required to ensure collision-free stopping before the stop line?",64.3 m,128.6 m,192.9 m,257.2 m
2025-10-09T21:41:05Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveConstructionZone_v1_MCQ_scenario.json,AggressiveWeaveConstructionZone_v1,deepseek/deepseek-r1,scenario,?,C,False,"After exiting the tunnel, the ego vehicle faces high-density traffic in a narrow two-lane construction zone with an aggressive driver weaving rapidly. Visibility flickers due to shadows, and the cooperative car maintains steady speed in the left lane. The tunnel exit leads directly into the construction zone with no signal changes. What should be the ego vehicle's highest priority?",Match the aggressive driver’s speed to maintain consistent traffic flow,Immediately change lanes to overtake the cooperative car on the left,"Maintain lane position and safe headway, prioritizing stability over maneuvering",Brake sharply to create distance from the aggressive vehicle behind
