timestamp,file,scenario_name,model,style,answer,correct_choice,is_correct,question,choice_A,choice_B,choice_C,choice_D
2025-10-11T09:12:51Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIcyEasy_MCQ_scenarioChecked.json,AggressiveWeaveBridgeIcyEasy,openai/gpt-4.1,scenario,C,C,True,"The ego vehicle approaches a three-lane icy bridge at dawn with good visibility, traveling at 25 m/s (90 km/h) and aiming to park safely. The road has no active signals or obstacles, but the surface is slippery, and the speed limit is 90 kph. Given the high initial speed and low-traction conditions, what should be the primary priority for safe operation?",Maintain current speed to ensure visibility and control in low-light conditions,Begin immediate and aggressive braking to minimize collision risk,"Initiate smooth, early deceleration to adapt speed to traction limits before parking",Switch lanes repeatedly to find less icy surface while approaching the bridge
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIcyStopSign_v1_MCQ_comparative_checked.json,AggressiveWeaveBridgeIcyStopSign_v1,openai/gpt-4.1,comparative,A,A,True,You are stationary at -300 m on an icy bridge with a stop line at -150 m and a traffic light cycling red/green. Traffic is aggressive and weaving. Which maneuver minimizes collision risk while ensuring a full stop?,Brake gently and early,Accelerate to pass before red,Change lanes to avoid traffic,Maintain speed until stop line
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveConstructionZone_v1_MCQ_scenario.json,AggressiveWeaveConstructionZone_v1,openai/gpt-4.1,scenario,C,C,True,"After exiting the tunnel, the ego vehicle faces high-density traffic in a narrow two-lane construction zone with an aggressive driver weaving rapidly. Visibility flickers due to shadows, and the cooperative car maintains steady speed in the left lane. The tunnel exit leads directly into the construction zone with no signal changes. What should be the ego vehicle's highest priority?",Match the aggressive driver’s speed to maintain consistent traffic flow,Immediately change lanes to overtake the cooperative car on the left,"Maintain lane position and safe headway, prioritizing stability over maneuvering",Brake sharply to create distance from the aggressive vehicle behind
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveCloverleaf_v1_MCQ_policy.json,AggressiveWeaveCloverleaf_v1,openai/gpt-4.1,policy,D,D,True,"The ego vehicle approaches a cloverleaf interchange at 100 km/h on a straight road, but the surface is unexpectedly gravel, reducing traction. Given the high speed and low-grip condition, safe weaving through the interchange ramps requires conservative control. What minimum time gap should the driver maintain ahead while navigating the ramps?",1 second,2 seconds,3 seconds,4 seconds
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveDesertHeat_v1_MCQ_comparative.json,AggressiveWeaveDesertHeat_v1,openai/gpt-4.1,comparative,A,A,True,"The ego vehicle approaches a four-way intersection at 25 m/s, 100 meters from the stop line, with a need to stop completely. Heat mirages impair perception, and aggressive driving behaviors are possible nearby. Given the high speed and visual distortions, which maneuver best ensures a safe, rule-compliant stop without sudden actions?",Brake gently to decelerate steadily,Maintain current speed until closer,Accelerate slightly to clear faster,Change lanes abruptly to optimize position
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveClearDaySignalizedEasy_MCQ_scenario.json,AggressiveWeaveClearDaySignalizedEasy,openai/gpt-4.1,scenario,B,B,True,"An autonomous vehicle starts at x = -80.0, heading toward a parking spot at x = -100.0, beyond a signalized crossing at x = -50.0. The traffic light alternates every 60 steps, starting with no red delay. Despite clear visibility and no traffic, what should be the vehicle's primary safety priority?",Accelerate to reach the parking spot quickly before the light changes,Stop smoothly before the stop line regardless of light phase,Proceed cautiously through the intersection if no pedestrians are visible,Prioritize parking precision over stopping at the stop line
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveFloodedRamp_v1_MCQ_scenario.json,AggressiveWeaveFloodedRamp_v1,openai/gpt-4.1,scenario,C,C,True,"On a flooded mountain switchback road at dusk, the ego vehicle approaches a right-side exit ramp while an aggressive 'zig-zagger' weaves at high speed. Visibility and traction are low, with no traffic controls active. Given these conditions, what should be the ego vehicle's highest priority to ensure safety?",Maintain 80 kph to match traffic flow and avoid sudden maneuvers,Position centrally to defend against erratic lane changes,Reduce speed early to increase time-to-collision and control on curves,Accelerate briefly to clear the ramp before the zig-zagger cuts in
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveElderlyHard_MCQ_comparative.json,AggressiveWeaveElderlyHard,openai/gpt-4.1,comparative,A,A,True,"On a rainy evening with poor visibility and high traffic density, the ego vehicle approaches a traffic signal 50m ahead. An aggressive car in lane 1 brakes suddenly, while a cautious truck occupies lane 2. Which maneuver minimizes collision risk while respecting pedestrian crossings and avoiding red lights?",Brake moderately to increase following distance,Accelerate to pass the braking car,Change lanes to overtake the truck,Maintain speed and proceed cautiously
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIcyStopSign_v1_MCQ_hybrid.json,AggressiveWeaveBridgeIcyStopSign_v1,openai/gpt-4.1,hybrid,B,C,False,"The ego vehicle travels at 100 km/h (27.78 m/s) on an icy bridge where deceleration is limited to 3 m/s² and the driver's perception–reaction time is 1.5 seconds. Considering additional uncertainty from aggressive vehicles and friction variability (±10%), what is the minimum safe headway required to ensure collision-free stopping before the stop line?",64.3 m,128.6 m,192.9 m,257.2 m
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveFoggyMountain_v1_MCQ_physics.json,AggressiveWeaveFoggyMountain_v1,openai/gpt-4.1,physics,B,C,False,"At 30 m/s on a foggy mountain switchback with reduced friction (μ ≈ 0.4), the ego vehicle is 100 m behind a lead car that decelerates at 2.0 m/s² for 5 s before stopping. Considering a 1.5 s perception–reaction delay and a 5% downgrade that slightly reduces braking effectiveness, what minimum constant deceleration must the ego vehicle apply to avoid collision?",1.85 m/s²,2.47 m/s²,3.10 m/s²,4.33 m/s²
