timestamp,file,scenario_name,model,style,answer,correct_choice,is_correct,question,choice_A,choice_B,choice_C,choice_D
2025-10-11T09:46:11Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveDesertHeat_v1_MCQ_comparative.json,AggressiveWeaveDesertHeat_v1,x-ai/grok-4,comparative,A,A,True,"The ego vehicle approaches a four-way intersection at 25 m/s, 100 meters from the stop line, with a need to stop completely. Heat mirages impair perception, and aggressive driving behaviors are possible nearby. Given the high speed and visual distortions, which maneuver best ensures a safe, rule-compliant stop without sudden actions?",Brake gently to decelerate steadily,Maintain current speed until closer,Accelerate slightly to clear faster,Change lanes abruptly to optimize position
2025-10-11T09:46:12Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveConstructionZone_v1_MCQ_scenario.json,AggressiveWeaveConstructionZone_v1,x-ai/grok-4,scenario,C,C,True,"After exiting the tunnel, the ego vehicle faces high-density traffic in a narrow two-lane construction zone with an aggressive driver weaving rapidly. Visibility flickers due to shadows, and the cooperative car maintains steady speed in the left lane. The tunnel exit leads directly into the construction zone with no signal changes. What should be the ego vehicle's highest priority?",Match the aggressive driver’s speed to maintain consistent traffic flow,Immediately change lanes to overtake the cooperative car on the left,"Maintain lane position and safe headway, prioritizing stability over maneuvering",Brake sharply to create distance from the aggressive vehicle behind
2025-10-11T09:46:12Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveElderlyHard_MCQ_comparative.json,AggressiveWeaveElderlyHard,x-ai/grok-4,comparative,A,A,True,"On a rainy evening with poor visibility and high traffic density, the ego vehicle approaches a traffic signal 50m ahead. An aggressive car in lane 1 brakes suddenly, while a cautious truck occupies lane 2. Which maneuver minimizes collision risk while respecting pedestrian crossings and avoiding red lights?",Brake moderately to increase following distance,Accelerate to pass the braking car,Change lanes to overtake the truck,Maintain speed and proceed cautiously
2025-10-11T09:46:12Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIcyEasy_MCQ_scenarioChecked.json,AggressiveWeaveBridgeIcyEasy,x-ai/grok-4,scenario,C,C,True,"The ego vehicle approaches a three-lane icy bridge at dawn with good visibility, traveling at 25 m/s (90 km/h) and aiming to park safely. The road has no active signals or obstacles, but the surface is slippery, and the speed limit is 90 kph. Given the high initial speed and low-traction conditions, what should be the primary priority for safe operation?",Maintain current speed to ensure visibility and control in low-light conditions,Begin immediate and aggressive braking to minimize collision risk,"Initiate smooth, early deceleration to adapt speed to traction limits before parking",Switch lanes repeatedly to find less icy surface while approaching the bridge
2025-10-11T09:46:18Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveFloodedRamp_v1_MCQ_scenario.json,AggressiveWeaveFloodedRamp_v1,x-ai/grok-4,scenario,C,C,True,"On a flooded mountain switchback road at dusk, the ego vehicle approaches a right-side exit ramp while an aggressive 'zig-zagger' weaves at high speed. Visibility and traction are low, with no traffic controls active. Given these conditions, what should be the ego vehicle's highest priority to ensure safety?",Maintain 80 kph to match traffic flow and avoid sudden maneuvers,Position centrally to defend against erratic lane changes,Reduce speed early to increase time-to-collision and control on curves,Accelerate briefly to clear the ramp before the zig-zagger cuts in
2025-10-11T09:46:25Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIcyStopSign_v1_MCQ_comparative_checked.json,AggressiveWeaveBridgeIcyStopSign_v1,x-ai/grok-4,comparative,A,A,True,You are stationary at -300 m on an icy bridge with a stop line at -150 m and a traffic light cycling red/green. Traffic is aggressive and weaving. Which maneuver minimizes collision risk while ensuring a full stop?,Brake gently and early,Accelerate to pass before red,Change lanes to avoid traffic,Maintain speed until stop line
2025-10-11T09:46:28Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIcy_v1_MCQ_scenario_checked.json,AggressiveWeaveBridgeIcy_v1,x-ai/grok-4,scenario,C,C,True,"The ego vehicle approaches a three-lane bridge with an icy deck and a stop line at x = -200.0, starting from rest at x = -350.0. The speed limit is 100 km/h, but the surface is slippery, and yielding is required at the intersection. Despite clear visibility and no active signals, the risk of skidding is high. What should be the primary priority when approaching the stop line?",Accelerate to reach the speed limit before the intersection for smooth merging,Maintain high speed since no traffic actors are present,Begin steady deceleration early to ensure controlled stop at the stop line,Coast without braking to avoid wheel lock-up on ice
2025-10-11T09:46:49Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveHailstormCloverLeafYield_v1_MCQ_comparative.json,AggressiveWeaveHailstormCloverLeafYield_v1,x-ai/grok-4,comparative,A,A,True,"At a cloverleaf interchange, you approach an inactive traffic light at night during a hailstorm with poor visibility. Aggressive drivers weave drowsily, risking sudden cut-ins. Which maneuver minimizes collision risk while yielding correctly?",Brake moderately to reduce speed,Accelerate to clear the area quickly,Change lanes to avoid weaving traffic,Maintain current speed and position
2025-10-11T09:46:57Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveCloverleaf_v1_MCQ_policy.json,AggressiveWeaveCloverleaf_v1,x-ai/grok-4,policy,D,D,True,"The ego vehicle approaches a cloverleaf interchange at 100 km/h on a straight road, but the surface is unexpectedly gravel, reducing traction. Given the high speed and low-grip condition, safe weaving through the interchange ramps requires conservative control. What minimum time gap should the driver maintain ahead while navigating the ramps?",1 second,2 seconds,3 seconds,4 seconds
2025-10-11T09:46:58Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveIcyTIntersec_v1_MCQ_comparative.json,AggressiveWeaveIcyTIntersec_v1,x-ai/grok-4,comparative,A,A,True,"The ego vehicle approaches a T-intersection at night on ice, with poor visibility and highway speed. An aggressive car suddenly brakes ahead in the left lane, then weaves into the right lane, where another slow vehicle is present. Given the slippery road and limited sight distance, which maneuver minimizes collision risk while maintaining control?",Brake moderately to reduce speed while staying in the current lane,Accelerate to pass the aggressive vehicle before it changes lanes,Change lanes immediately to overtake the slow vehicle on the right,Maintain current speed and lane position
